[2026-09-24T12:25:01.336306+00:00] AUDIT_EVENT | id=24bef148-b7a1-46a5-91d3-3a43979e22aa | name=Mechanical Keyboard | type=sync | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:25:01.409476+00:00] AUDIT_EVENT | id=9ee12b49-8987-41d7-a676-6b8658e05cd1 | name=Ergonomic Mouse | type=async | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:25:01.474894+00:00] AUDIT_EVENT | id=b9c42a4d-89fa-4481-b6de-0cbdec301ad1 | name=4K Monitor | type=async | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:25:01.596713+00:00] AUDIT_EVENT | id=99d76355-68c4-4e48-ae87-6391a04fe137 | name=Webcam | type=sync | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:25:01.690406+00:00] AUDIT_EVENT | id=e6e1e497-18b6-4089-bc82-744700807766 | name=AuditProduct-adcfafe5 | type=async | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:25:01.713377+00:00] AUDIT_EVENT | id=mock-id-12345 | name=MOCKED_Desk Lamp | type=sync | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:25:50.438663+00:00] AUDIT_EVENT | id=a64256f9-15b3-4745-8892-3bc70cbe57cf | name=Gaming Monitor | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:25:50.509209+00:00] AUDIT_EVENT | id=98da79d3-5d0e-42fb-a4e4-e81a1a9e2201 | name=Mechanical Mouse | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.040051+00:00] AUDIT_EVENT | id=6c01f4f3-855c-47be-aadb-6da327c1b5af | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.045529+00:00] AUDIT_EVENT | id=ed65b029-ae3f-45c4-a78f-7ad0bd9357ed | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=6befea0f-ee2b-4cc8-a2e1-32e89f0c5de6 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=8334961b-7ce0-46ff-bf1a-ffca435cc451 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.051620+00:00] AUDIT_EVENT | id=f7bde9af-2c47-4d16-af9d-b8bfa22ccd11 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=84ba861e-12b1-4972-b6e2-f12137e0cd8c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=b68184ae-c002-4c68-912e-ba45fd91d985 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=e407eacf-797e-491f-b4cb-335839e0866a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=c9ac3c2a-f4c1-4abe-87b0-6bbabad193ad | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.052132+00:00] AUDIT_EVENT | id=46877737-7c7c-4dba-8d9c-d09251ea9292 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.111520+00:00] AUDIT_EVENT | id=dd67aa66-6300-46af-bb29-5a4b5b889242 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.112622+00:00] AUDIT_EVENT | id=fdaa9840-19cb-44c6-9c3d-8f2981e96e9a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.123891+00:00] AUDIT_EVENT | id=ced7b5a9-c0ad-4975-87c1-a79ee75fa7c9 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.124630+00:00] AUDIT_EVENT | id=8ff9745b-9627-49dc-9ebd-f3bdc47184b4 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.131625+00:00] AUDIT_EVENT | id=8ab7d2bf-5d53-45d3-a9b1-46b8a87c239b | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.133278+00:00] AUDIT_EVENT | id=290e7295-5760-4a7d-a12e-0af57858be1d | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.133802+00:00] AUDIT_EVENT | id=57fc0515-6822-4495-ad0b-b2b6dcc3e516 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.133278+00:00] AUDIT_EVENT | id=3edcdcb9-6814-4989-b866-edc62ab605be | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.135432+00:00] AUDIT_EVENT | id=69b29e90-4d07-4827-bb4e-c7c4dab50fb5 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.142573+00:00] AUDIT_EVENT | id=0d3441c3-8abd-4d2c-97c6-a6892e5b532e | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.171890+00:00] AUDIT_EVENT | id=d79fe96d-25e2-49b0-9805-0e6396306dff | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.173533+00:00] AUDIT_EVENT | id=2ef4391b-159f-4f27-8b50-458ba183b3b4 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.202133+00:00] AUDIT_EVENT | id=ca1d6bdb-a284-4d88-9880-18de3cd9393f | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.201568+00:00] AUDIT_EVENT | id=c9ca9e1e-6131-4904-85f2-7e87d51aee24 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.210400+00:00] AUDIT_EVENT | id=f13bd9ca-3651-4cf6-9d44-6d33c1092933 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.210948+00:00] AUDIT_EVENT | id=356b26fc-1f7c-4d64-a48e-ac637a8e71c5 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
